,name,rate
0,Airson,"₹1,049"
1,K- FOOTLANCE,₹495
2,SFR,₹299
3,World Wear Footwear,₹299
4,BIRDE,₹279
5,Kraasa,₹299
6,SFR,₹299
7,Labbin,₹249
8,aadi,₹429
9,BIRDE,₹299
10,Labbin,₹694
11,BRUTON,₹699
12,BIRDE,₹499
13,aadi,₹399
14,NIKE,"₹2,586"
15,BRUTON,₹299
16,BIRDE,₹299
17,CAMPUS,"₹1,329"
18,AMICO,₹387
19,BRUTON,₹299
20,HOTSTYLE,₹269
21,BRUTON,₹449
22,Labbin,₹389
23,BIRDE,₹499
24,HOTSTYLE,₹229
25,aadi,₹479
26,Labbin,₹249
27,RED TAPE,"₹1,517"
28,SFR,₹299
29,BIRDE,₹299
30,BEEROCK,₹549
31,RapidBox,₹571
32,aadi,₹448
33,World Wear Footwear,₹279
34,BIRDE,₹299
35,aadi,₹399
36,TR,₹429
37,K- FOOTLANCE,₹456
38,SFR,₹549
39,BIRDE,₹499
